Scheme Name,URL,Benefits
"National Family Benefit Scheme","https://www.myscheme.gov.in/schemes/nfbs","Benefits
₹ 20000/ - will be given as a lump sum assistance to such surviving member of the household of the deceased poor, who after local inquiry, is found to be the head of the household.
The assistance would be given to every case of death of breadwinner in a family."
"Credit Based Schemes For SC - Term Loan (TL)","https://www.myscheme.gov.in/schemes/cbssc-tl","Benefits
Term loan up to 95% of the cost of project  Upto Rs.5.00 lakh at Interest rates of 6%
Term loan up to 95% of the cost of project  Above Rs. 5.00 lakh & upto Rs.10.00 lakh at Interest rates of 8%
Term loan up to 95% of the cost of project  Above Rs. 10.00 lakh & upto Rs.50.00 lakh at Interest rates of 9%

Repayment Period
 A term loan is to be repaid in quarterly/half-yearly/yearly installments, within a maximum period of 10 years.

Moratorium Period
 6 months to 12 months depending upon the nature of the business activity"
"Scheme of Grant-in-Aid to Voluntary Organisations Working for the Welfare of Scheduled Tribes","https://www.myscheme.gov.in/schemes/sgiavowwst","Benefits
1. Broad Sector-wise indicative categories of projects for which grant-in-aid will be considered are as follows:
Sectors Category of Projects
Education 1. Running and maintenance of Non-Residential Schools/ Residential Schools /Hostels.
Education 2. Sponsoring tribal girls from the North Eastern States viz. Assam, Meghalaya, Mizoram, Manipur, Nagaland, Tripura, Arunachal Pradesh, Sikkim, and from Andaman & Nicobar Islands and Lakshadweep for study in reputed educational institutions.
Health 3. Running/maintenance of hospitals/dispensaries with 10 or more beds.
Health 4. Mobile Dispensary
Livelihood 5. Enhancement of livelihood and income generation opportunities through infrastructure support and capacity building in sectors like agriculture, fishery, dairy and animal husbandry, water conservation, and organic/natural farming.
2. In addition to the above, during natural calamities, disasters, or pandemic, the Ministry of Tribal Affairs may provide emergency health services including the provision of food and water through NGOs in the affected area for which norms may be decided in consultation with IFD with approval of Minister, Ministry Tribal Affairs.
3. Priority will be given to programmes/projects that benefit Particularly Vulnerable Tribal Groups (PVTGs), LWE-affected districts, and tribal populations in remote or difficult areas.
4. Under the scheme, grants are given to Organizations as per norms fixed for different projects given in Annexure-1, subject to the ceilings for recurring and non-recurring grants."
"Coir Udyami Yojana","https://www.myscheme.gov.in/schemes/cuy","Benefits
Beneficiary’s contribution (of Project Cost) - 5%
Bank credit - 55%
Rate of Subsidy (of project cost) - 40%

Note: 
Maximum admissible cost of the project is Rs.10 lakhs plus working capital. Working capital shall not exceed 25% of the project cost. Subsidy will be computed excluding working capital component.
The Bank will sanction 95% of the project cost after adjusting 5% beneficiary contribution deposited and disburse full amount of project cost including the beneficiary contribution in installments for setting up of the project."
"Loan Based Schemes For Safai Karamchari - Scheme For Pay And Use Community Toilets","https://www.myscheme.gov.in/schemes/lbssk-spuct","Benefits
Loan upto amount of Rs.25.00 lacs for setting up of a unit of 10 seater toilet to individual beneficiaries/ self-help groups at interest rate of 4%.
A rebate of 1%  per annum on interest will be admissible to women beneficiaries.
A rebate of 0.5% will be extended for the beneficiaries for timely repayment.

Repayment period
 10 Years after the implementation period of 180 days and moratorium of 180 days

Moratorium period
Six Months in addition to implementation period of six months. 

Note 
Loans are extended through Channelizing Agencies (CAs) i.e. State Channelizing Agencies (SCAs), Regional Rural Banks (RRBs) and Public Sector Banks (PSBs) to the target group."
"Pradhan Mantri Jan Dhan Yojana","https://www.myscheme.gov.in/schemes/pmjdy","Benefits
Basic Savings Bank Deposit Account (BSBDA)
Any Indian citizen eligible to open a regular bank account can open a BSBDA. Such an account does not require any minimum balance maintenance. The account holders can use both bank branches, ATMs and Banking Correspondents (BCs) for depositing and withdrawing cash. However, one cannot withdraw cash more than four times a month.
Small Account/Chota Khata
Under Jan Dhan Yojana, people can open small bank accounts without presenting legal documents. These accounts would be valid normally for a period of twelve months. Thereafter, such accounts  would be allowed to a continue for a further period of twelve more months, if the account-holder provides a document showing that he/she has applied for any of the Officially Valid Document, within 12 months of opening the small account.
RuPay Debit Card with inbuilt accident insurance
Under PMJDY,  a free Rupay debit card,  with inbuilt accident insurance cover of Rs.2 lakhs (Rs 1 lakh for accounts opened before 28.08.2018),  is issued to all beneficiaries. 
Overdraft Facility
Under PMJDY, beneficiaries can avail OD facility upto Rs. 10,000/-.
Business Correspondents (BCs)/Bank Mitras 
BCs/Bank Mitras are retail agents engaged by banks for providing banking services at locations other than a bank branch/ATM. It is mainly meant  for the rural areas, where bank branches are far-flung. BCs/Bank Mitras connect with the residents and guide them with banking solutions such as savings accounts, deposits, payments and withdrawals, mini account statements, etc. Banks with their strong network of BCs/Bank Mitras are providing hassle free services to the customers in remote / rural areas."
"Mukhyamantri Kisan Sahay Yojana","https://www.myscheme.gov.in/schemes/mksy","Benefits
Benefits
Amount of Assistance Crop Loss Percentage
Rs. 20,000/- per Hectare Crop Loss of 33% to 60%
Rs. 25,000/- per Hectare Crop Loss of Over 60%"
"RMEWF-Financial Assistance To 100% Disabled Child Of Ex-Servicemen","https://www.myscheme.gov.in/schemes/rmewf-disabled-child","Benefits
A financial assistance of Rs.3000/- per month (paid annually) per child is provided to eligible Ex-Servicemen or their widows.
The financial assistance is non-transferable and will cease automatically upon death of the child."
"Pradhan Mantri Formalisation Of Micro Food Processing Enterprises","https://www.myscheme.gov.in/schemes/pmfmpe","Benefits
The program has four broad components addressing the needs of the sector:
1.  Support to individuals and groups of micro-enterprises.
2.  Branding and Marketing support.
3.  Support for strengthening of institutions.
4.  Setting up a robust project management framework.

Support to Individual Micro Enterprises
Individual micro food processing units would be provided credit-linked capital subsidy @35% of the eligible project cost with a maximum ceiling of ₹ 10,00,000 per unit. The beneficiary contribution should be a minimum of 10% of the project cost with the balance being loaned from the Bank.

Support for Farmer Producer Organizations (FPOs)/Producer Cooperatives FPOs and Producer Cooperatives:
i) Grant @35% with credit linkage.
ii) Training support.
iii) Maximum limit of grant in such cases would be as prescribed.

Support for Self-Help Groups (SHGs):
1. Seed capital:
i) Seed capital @ Rs40,000/- per member of SHG for working capital and purchase of small tools would be provided under the scheme;
ii) Priority would be given to SHGs involved in ODOP produce in giving seed capital;
iii) All the members of an SHG may not be involved in food processing. Therefore, seed capital would be provided at the federation level of SHGs;
iv) This would be given as a grant to the SHG federation by SNA/ SRLM. SHG federation would provide this amount as a loan to the members of SHGs to be 
repaid to the SHG.
2. Support to individual SHG members as a single unit of the food processing industry with credit linked grant @35% with a maximum amount being Rs 10 lakh.
3. Support for capital investment at the federation of SHG level, with credit linked grant @35%. The maximum limit of funding in such cases would be as prescribed.
4. Training & Handholding Support to SHGs: For support to SHGs, a large number of trained resource persons are available with State Rural Livelihood Missions 
(SRLMs). These local resource persons of SRLM having expertise in agro-produce would be utilized for training, upgradation of units, DPR preparation, handholding 
support, etc.

Support for Common Infrastructure:
The following common infrastructure would be funded under the Scheme:
i) Premises for assaying of agriculture produce, sorting, grading, warehouse, and cold storage at the farm gate;
ii) Common processing facility for processing of ODOP produce;
iii) Incubation Centre should involve one or more product lines, which could be utilized by smaller units on a hire basis for the processing of their produce. The incubation Centre may partly be used for training purposes. It should be run on a commercial basis.

Branding and Marketing Support:
i) Training relating to marketing to be fully funded under the scheme;
ii) Developing a familiar brand and packaging including standardization to participate in common packaging;
iii) Marketing tie up with national and regional retail chains and state-level institutions;
iv) Quality control to ensure product quality meets required standards.

Convergence Framework: 
The Food Processing Enterprises would be eligible for benefits under the following Government Schemes:
1.  National Rural Livelihood Mission – providing seed capital, training, handholding support, and interest subvention to SHGs.
2.  Start-up Village Entrepreneurship Programme (SVEP) –It is a Centrally Sponsored Scheme, a part of NRLM, and provides capital and technical support to rural start-ups through training, handholding and support through Community Enterprises Fund (CEF) as a loan-up to ₹ 1,00,000 for individual entrepreneur and ₹ 5,00,000 for group entrepreneurs at 12% interest.
3.  Interest Subvention Scheme for incremental credit to MSMEs 2018 – 2% interest subvention on the outstanding balance.
4.  Credit Guarantee Trust Fund for Micro & Small Enterprises (CGTMSE) for a collateral-free loan up to ₹ 2,00,00,000.
5.  PM MUDRA Yojana for a loan up to ₹ 10,00,000.
6.  A Scheme for Promotion of Innovation, Rural Industry and Entrepreneurship (ASPIRE).
7.  Scheme for Fund for Regeneration of Rural Industry (SFURTI).
8.  Public Procurement Policy for MSEs.
9.  Benefits available under various other Schemes of MoFPI such as Backward & Forward Linkages, Agricultural Production Cluster, Cold Chain, etc. would be used to provide support to clusters/groups.
10.  Support from PMKVY and NRLM for skill training for SHGs, if falling within the guidelines would be taken. For shorter duration on-site training, support would be provided from NRLM and the PM FME scheme, tailor-made for such purposes"
"National Beekeeping & Honey Mission","https://www.myscheme.gov.in/schemes/nbhm","Benefits
Details of activities envisaged, cost norms and pattern of assistance approved under Mini Mission I & II and III can be checked at NBHM Guidelines.

The scheme envisages the following benefits:
1) Enhances yields & quality of produce of various crops viz., fruits, vegetables, pulses, oil seeds, etc. through pollination support
2) Helps in sustainable development of Agriculture and Environment.
3) Helps in maintaining Biodiversity
4) Increases income of beekeepers/ farmers/ land less labours, etc. through production of honey & other beehive products, viz.; Bees wax, Propolis, Pollen, Royal Jelly, Bee venom, comb honey, etc. which have great importance in human life.
5) Generates employment.
6) Serves as a source of livelihood
7) It helps in prosperity of farmers, healthy people and strong Nation.
8) Adopt Scientific Beekeeping for own and Nation’s prosperity."
"Women Involvement in Science and Engineering Research","https://www.myscheme.gov.in/schemes/wiser","Benefits
The grant will cover basic project assistance (including research staff for the Indian awardee, consumables, and contingency) for the awardee in the parent country and a one-month research stay in the host country (single round-trip airfare, visa fee, medical insurance, per diem for the stay).
Indian awardee:
Travel (including visa fee and insurance) approximately ₹1 lakh.
Project cost up to ₹12 lakhs/year (including research staff, consumables, contingency, and per diem @ €2300/month in Germany).
German awardee:
Travel (including visa fee and insurance) approximately €1500.
Project cost up to €14500/year (including consumables, contingency, and per diem @ € 2300/month in India)."
"Group Personal Accident Insurance Scheme For Coir Workers","https://www.myscheme.gov.in/schemes/gpaiscw","Benefits
For death due to accident – Rs.50,000.
For permanent total disability (loss of two eyes or two limbs, loss of one eye and one limb) – Rs.50,000.
For permanent partial disability (loss of one eye or one limb) – Rs.25,000."
"Co-Working Space/ Incubators/ Accelerators Subsidy Scheme","https://www.myscheme.gov.in/schemes/cwsiass","Benefits
In the case of Seat Offered by the Co-Working Spaces
The startup will be reimbursed 50% of the seat cost or a maximum benefit of ₹3000 per seat, and can claim this benefit for a maximum cap of 8 seats only.
The benefits at co-working spaces can be availed for a maximum period of two years per startup.
A total of 100 seats in co-working will be subsidized under this scheme each year.
In the case of Seat Offered by the Incubators 
The startup will be reimbursed 50% of the seat cost or a maximum benefit of ₹5000 per seat, and can claim this benefit for a maximum cap of 8 seats only.
The benefits at incubators can be availed for a maximum period of one year per startup.
A total of 50 seats in incubators will be subsidized under this scheme each year.
In the case of Seat Offered by the Accelerators
The startup will be reimbursed 50% of the seat cost or a maximum benefit of ₹6000 per seat, and can claim this benefit for a maximum cap of 8 seats only.
The benefits at accelerators can be availed for a maximum period of three months per startup.
A total of 50 seats in accelerators will be subsidized under this scheme each year.
NOTE 1: For certain deserving startups determined through the internal guidelines of the SPC, the SPC may choose to reimburse up to 100% of the amount paid to co-working, incubator, or accelerator by the startups.
NOTE 2: The reimbursement in this scheme can be claimed on any of the plans offered by the co-working spaces, incubators, or accelerators listed by the SPC.
NOTE 3: Under no circumstance shall the benefits under this scheme be considered an entitlement."
"Gharelu Mahila Kamgar Cycle, Chhatari, Chappal/Joota Sahayta Yojana","https://www.myscheme.gov.in/schemes/gkccsy","Benefits
Provide Cycle, Umbrella, Slipper/Shoe Assistance."
"Stand-Up India","https://www.myscheme.gov.in/schemes/sui","Benefits
Facilitation of composite loan (inclusive of term loan and working capital) between ₹10 Lakhs and ₹100 Lakhs. Rupay debit card to be issued for convenience of the borrower.
The web portal by SIDBI provides hand-holding support through a network of agencies engaged in training, skill development, mentoring, project report preparation, application filling, work shed / utility support services, subsidy schemes etc."
"Skill Loan Scheme","https://www.myscheme.gov.in/schemes/sl","Benefits
Courses 
Aligned to NSQF

Quantum of Finance
 Rs 5000-1,50,000

Duration of Course 
No minimum duration

Rate of Interest 
Base rate (MCLR) + an add on typically up to 1.5%

Moratorium 
Duration of the course

Repayment Period 
Between 3 to 7 years basis the amount of loan

Loan
Loans upto ₹ 50,000 - Upto 3 years
Loans between ₹ 50,000 to ₹ 1 lakh - Upto 5 years
Loans above ₹ 1 lakh - Upto 7 years

Coverage 
Course Fees (directly to the training institute) along with expenses towards completion of the course (assessment, examination, study material, etc.)
The scheme does not allow for a collateral to be charged from the beneficiary.

MSDE, through a November 2015 notification, brought into force the Credit Guarantee Fund for Skill Development (CGFSSD) for all skill loans sanctioned on or after 15 July 2015, to be administered by the National Credit Guarantee Trust Company (NCGTC).

Banks can apply to the NCGTC for credit guarantee against defaults and NCGTC will provide this guarantee at nominal fee which shall not exceed 0.5% of the amount outstanding. The guarantee cover will be for a maximum of 75% of the outstanding loan amount (including interest, if any)."
"Economic Help To Tribal Girls For Higher Education (Class 11 & 12)","https://www.myscheme.gov.in/schemes/ehftg","Benefits
Rs. 3,500/- One time and fully in July"
"Top Class Education For Scheduled Caste Students","https://www.myscheme.gov.in/schemes/tce-sc","Benefits
Payment of Full tuition fee and non-refundable charges (Ceiling of Rs. 2.00 LPA per student for private sector institutions; Ceiling of Rs.3.72 LPA per student for the private sector flying clubs for Commercial Pilot Training and Type Rating Courses)
Living expenses: ₹ 3000/- per month per student.
Books and stationery: ₹ 5000/- per annum per student.
A computer/laptop with accessories (UPS and printer) limited to ₹ 45000/- per student (one-time assistance)."
"NBCFDC General Loan Scheme","https://www.myscheme.gov.in/schemes/nbcfdc-gls","Benefits
Loan up to ₹15 Lakh per beneficiary for pursuing income generating activities such as Agriculture and Allied Activities, Small Business/Artisan & Traditional Occupation, Transport Sector & Service Sector, and Technical & Professional Trades/Courses.
The rate of interest would be as follows - Loan up to ₹ 5.00 Lakh: 6% per annum; Loan above ₹5.00 Lakh up to ₹ 10.00 Lakh: 7% per annum; Loan above ₹10.00 Lakh up to ₹ 15.00 Lakh: 8% per annum."
"Annath Pension Yojana (JBOCWWB)","https://www.myscheme.gov.in/schemes/apy-jbocwwb","Benefits
In case of the death of the pensioner, the pension will be payable at the rate of the family pension and will be evenly divided among orphans below 18 years of age."
"SMILE - Comprehensive Rehabilitation For Welfare Of Transgender Persons – Skill Development And Training","https://www.myscheme.gov.in/schemes/smile-skill-and-training","Benefits
Free of cost training is provided to trainees. 
Stipend at Rs. 1000 per month per trainee in case of Non-residential training 
Post placement assistance is also provided to the transgender candidate based on achievement of 80% attendance in the skill training programme.
Trainees shall also be provided assistance/facilitated for wage/self-employment by the Training Institutions.

Note
Each candidate shall provide live attendance (80%) which will be a crucial to get stipend and certificate of course completion."
"Registration & Stamp Duty Subsidy Scheme","https://www.myscheme.gov.in/schemes/rsdss","Benefits
Reimbursement of the stamp duty, such that the registration and stamp duty charges will not exceed ₹ 100/-.
The excess amount paid to the authorities concerned will be reimbursed.
The subsidy will be provided in full.
The subsidy will be provided at the end of two years from the start of commercial operations or from the date of Notification of the Policy; whichever is later.
NOTE 1: The benefits under this scheme are subject to budgetary allocation. No Promissory Estoppel shall be applicable if benefits are discontinued in case the allocation is exceeded.
NOTE 2: Only transactions made during the operation of the Policy or up to 3 years prior to the notification of the Policy will be eligible for this subsidy."
"Vanchit Ikai Samooh Aur Vargon Ko Aarthik Sahayata Yojana","https://www.myscheme.gov.in/schemes/visvas","Benefits
Salient Features
Maximum loan limit (for SHG): ₹ 4,00,000
Maximum loan limit (for individual): ₹ 2,00,000
Maximum Subvention Amount: @5% per annum

Mode of payment of Subvention
Through Direct Transfer of Subvention Amount into operating account of SHG or Individual"
"Raman-Charpak Fellowship","https://www.myscheme.gov.in/schemes/r-cf","Benefits
To and fro air ticket in economy class between India and France.
Insurance coverage (travel & health) wherever is required & Carte de Sejour (if any).
Any administrative costs for Visa and Registration (if any).
Support for attending conferences/seminars/workshops during the stay.
Value of Fellowship for Indian Fellow:
Fellowship Support of 1500 Euros per month for daily expenses, local travel, accommodation charges plus Social Security charges.
Value of Fellowship for French Fellow:
Fellowship support ₹40,000/- per month for daily expenses, local travel, etc. plus accommodation charges not exceeding ₹45,000/- per month."
"Payroll Subsidy","https://www.myscheme.gov.in/schemes/ps-tn","Benefits
Reimbursement of employee's contribution to the EPF for their employees for the first three years from the date of commencement of commercial production, subject to a maximum of ₹ 24,000/- per employee per annum."
"RMEWF-Financial Assistance For Vocational Training Of Widows Of Ex-Servicemen","https://www.myscheme.gov.in/schemes/rmewf-vocational-training","Benefits
A financial assistance of Rs.20,000/- (max- one time aid ) is provided to widows of Ex-Servicemen on successful completion of said vocational training."
"Women Scientist Scheme-C","https://www.myscheme.gov.in/schemes/wos-c","Benefits
₹ 35,000/- per month for Ph.D. in Basic or Applied Sciences/MD or equivalent degree.
₹ 30,000/- per month for M.Phil / M.Tech / M.Pharm / M.VSc or equivalent degree.
₹ 25,000/- per month  for M.Sc in Basic or Applied Sciences / MBBS / B.Tech or equivalent degree."
"Emeritus Fellowship","https://www.myscheme.gov.in/schemes/ef","Benefits
The assistance available under the scheme is:

Honorarium of Rs. 31,000/- p.m. for two years (non-extendable)
Contingency grant (non-lapsable) of Rs. 50,000/- p.a. towards secretarial assistance, travel within the country connected with the research project, stationery, postage, consumables, books and journals and equipment. However, books, journals and equipment etc. procured out of the contingency grant will be the property of the university/college/institute.
Foreign visit in connection with the approved research work of the awardee will be limited to once in a year with the prior approval/no-objection of the Institution/University where the project work is being undertaken along with that of UGC. This will be further subject to no financial liability on the part of UGC.
The expenditure would be accounted for audit by the university department concerned like any other departmental expenditure. The Emeritus Fellow would be entitled to such other privileges including medical facilities as available to the university faculty members, but not housing."
"Tripura Lynching/Mob Violence Victim Compensation Scheme","https://www.myscheme.gov.in/schemes/tlmvvcs","Benefits
Minimum amount of compensation for the victims of lynching/mob violence:
Sl. No. Description of injuries/loss Quantum of compensation
1 Death ₹4 Lakhs
2 Permanent Disability (80% or more) ₹2 Lakhs
3 Partial disability (40% to 80%) ₹1 Lakh
4 Fully damaged/destroyed house ₹95,000/­-
5 (i) Pucca House/ Shop/Commercial Establishment. ₹95,000/­ -
6 (ii) Kutcha House / Shop/Commercial Establishment ₹50,000/-
7 Partially damaged/ destroyed house ₹5,000/­-
8 (i) Pucca House/ Shop/ Commercial Establishment.  ₹5,000/­-
9 (ii) Kutcha House/ Shop/ Commercial Establishment. ₹3,000/­-
10 Damaged/destroyed Huts ₹4,000/- per Hut (Hut means a temporary, makeshift unit, inferior to Kutcha House, made of thatch, mud, plastic sheets, etc. traditionally recognized as a hut by the State / District Authorities
Quantum of compensation:
The quantum of compensation to be awarded to the victim or his dependents based on the loss caused to the victim, medical expenses to be incurred on treatment, minimum sustenance amount required for rehabilitation including such incidental charges as funeral expenses, etc. subject to the limit as per schedule. The compensation may vary from case to case depending on the facts of each case, but shall not exceed the amount specified in the schedule.
In case of death/permanent disability/loss of property and interim relief is to be provided to the victim or the next of kin within a period of 30 days of the incident of mob violence/lynching.
Compensation received by the victim or dependent from the State in relation to the crime in question, namely, insurance, ex-gratia, and/or payment received under any other Act or State-run scheme, shall be considered as part of the compensation amount under this scheme and if the eligible compensation amount exceeds the payments received by the victim from collateral sources mentioned above, the balance amount shall be paid out of Fund.
To alleviate the suffering of the victim, first aid facility or medical treatment is to be made available free of cost provided a maximum limit of ₹1.00 lakh on the certificate of the Police officer not below the rank of the Officer-in-Charge of the Police Station or Magistrate of the area concerned, or any other interim relief as deem fit."
"Sindhu Dharshan Yatra Scheme 2016","https://www.myscheme.gov.in/schemes/sdys2016","Benefits
The financial assistance will be provided up to the extent of ₹10,000/- or 50% of the actual expenditure per person whichever is less.
Financial assistance shall be provided to a maximum of 50 (fifty) numbers of pilgrims."
"Delhi Ladli Scheme","https://www.myscheme.gov.in/schemes/dls","Benefits
Financial assistance is provided in the form of term deposits sanctioned at the following stages:

Stage of Financial Assistance Amount (in ₹)
1. For Institutional Delivery: 11,000/- (provided the girl is born in the last year)
2. For Delivery at Home: 10,000/- (provided the girl is born in the last year)
3. On admission in Class 1st: 5,000/-
4. On admission in Class 6th: 5,000/-
5. On admission in Class 9th: 5,000/-
6. On passing Class 10th: 5,000/-
7. On admission in Class 12th: 5,000/-

The maturity amount at the end of the lock-in period will vary depending on the stage at which each girl child enters the scheme and registers under it."
"Scheme For Working Women Hostel","https://www.myscheme.gov.in/schemes/swwh","Benefits
Safe and secure Hostel Facilities to working women or women under going job Training
Girls up to the age of 18 years and boys up to the age of 5 years, accompanying working mothers will be provided accommodation, with their mothers.
Working mothers may also avail of the services of the Day Care Centre"
"Jal Jeevan Mission","https://www.myscheme.gov.in/schemes/jjm","Benefits
Functional household tap connection(FHTC) to households, Schools, Anganwadi centres, GP buildings, Health centres, wellness centres and community buildings. (Priority in quality affected areas, villages in drought prone and desert areas)

The scheme shall provide FHTC in every household with three delivery points (taps), viz. kitchen, washing & bathing area and toilet, to keep water clean and prevent misuse. 
Out of the three, only one tap per household will be funded under JJM.

Other Benefits:
Monitoring functionality of tap connections.
Promotion and ensure voluntary ownership among local community by way of contribution in cash, kind and/ or labour and voluntary labour (shramdaan)
Assistance in ensuring sustainability of water supply system, i.e. water source, water supply infrastructure, and funds for regular O&M
Empowering and development of human resource in the sector such that the demands of construction, plumbing, electrical, water quality management, water treatment, catchment protection, O&M, etc. are taken care of in short and long term
Awareness on various aspects and significance of safe drinking water and involvement of stakeholders in manner that make water everyone's busine"
"Land/Built-Up Area Rebate Scheme","https://www.myscheme.gov.in/schemes/lbuars","Benefits
1.  Purchase of Land for creating IT Office Space: A one-time rebate at ₹40,000 per male employee (₹50,000 per female employee) will be provided up to 60% of the cost of the land as determined by the Consideration Amount (value as defined in the Stamp Registration/ Sale Deed).
2.  Purchase of Built-Up office space for IT operations: A one-time rebate will be provided up to 20% of the cost of the space as determined by the Consideration Amount (value as defined in the Stamp Registration/ Sale Deed).
NOTE 1: The maximum rebate under this provision for land purchased would be ₹1,50,00,000 and for the purchase of Built up space would be ₹1,00,00,000.
NOTE 2: A Unit can avail of any one of the above-mentioned rebate options. To avail of this rebate, the Units should have direct employment proportional to the built-up space created at the rate of up to 80 sq ft per employee. Direct employees should have been on the rolls of the unit for a minimum period of 12 months.
3.  Based on the number of employees of Goan origin or Goan Graduates, the percentage of incentives under clauses 2.1 and 2.2 above shall be disbursed on a pro-rata basis as under:
Upto 30% of employees on rolls of the company: 50%
30% to 60% employees on rolls of the company: 75%
More than 60% of employees on the rolls of the company: 100%. 
4.  For Existing Units, rebates may be claimed on transactions that are made up to 3 years prior to the notification of the policy.
5.  For New Units, the rebate may be availed on transactions made post-notification of the policy. Prescribed guarantees would be taken from the sponsors of the project for the rebate.
NOTE: The benefits under this scheme are subject to budgetary allocation. No Promissory Estoppel shall be applicable if benefits are discontinued in case the allocation is exceeded."
"Health Minister’s Discretionary Grant","https://www.myscheme.gov.in/schemes/hmdg","Benefits
Financial assistance towards treatment in Government hospitals including super specialty Government hospitals / institutes.
Financial Assistance of ₹50,000/- if the estimated cost of treatment is up to ₹1,00,000/- .
Financial Assistance of ₹75,000/- if the estimated cost of treatment is above ₹1,00,000/- & up to ₹1,50,000/-.
Financial Assistance of ₹1,00,000/- if the estimated cost of treatment is above ₹1,50,000/-."
"State Merit Scholarship Manipur","https://www.myscheme.gov.in/schemes/smsm","Benefits
For Class X passed students: The scholarship provides Rs. 6,000 per annum to the first 300 students who passed the High School Leaving Certificate Examination (HSLC) conducted by BSEM for a period of two years.
For Class XII passed students: The scholarship provides Rs. 12,000 per annum to the first 125 students of Science, 125 students of Social Sciences, and 50 students of Commerce who passed the class XII examination conducted by COHSEM for a period of three years.
The scholarship is available to students who continue their studies within or outside the state but within the country, starting from the academic session of 2015-16.
The scholarship aims to provide equal opportunities for higher education to deserving students, regardless of their economic background.
In addition to the initial list of recipients, 50 students will be kept on the waiting list for possible refusal, ineligibility, or other students getting other scholarships.
The scholarship encourages students to excel academically and pursue further studies, thereby promoting higher education in Manipur."
"Motivation Of Unemployed Persons To Start Self-Employed Enterprises Scheme","https://www.myscheme.gov.in/schemes/mupsese","Benefits
Under the scheme, the applicant may get a loan from ₹10,000/- to ₹2,00,000/- to set up a startup in the manufacturing and/or service sectors.
50% of the project cost excluding pre-operative and preliminary expenses will be granted as a subsidy for the projects not exceeding ₹50,000/-
35% of the project cost excluding pre-operative and preliminary expenses to a maximum of ₹35,000 will be granted as a subsidy for project costs exceeding ₹50,000 but less than ₹2.00 lakhs.
Note: The amount of the Loan will be disbursed as soon as the beneficiary completes the formalities required by the Banks."
"India Africa Fellowship","https://www.myscheme.gov.in/schemes/iaf","Benefits
Fellowship Amount
A fellowship will be awarded for two years @ INR 12,000 per month for the master's program and for three years @ INR 15,000 per month for the doctoral program out of the India-Africa Fund of the Govt. of India (MEA/DARE). 
All expenditures towards tuition fees, hostel fees, mess, medical, contingency and travel within the country, etc. during the course will be borne by the student utilizing the fellowship amount.
For joining the program, the cost of issuing an air ticket/travel and visa will be borne by the MEA through the Indian Mission in the respective African country.
Annual charges of bench fee (US$ 4000 per candidate per year) payable to the Indian AU will be covered under the India-Africa Fund."
"Bina Mulya Samajik Suraksha Yojana","https://www.myscheme.gov.in/schemes/bmssy","Benefits
Provident Fund:  The State Government will pay ₹ 55/- ( ₹ 25/- + ₹ 30/-) including the beneficiary and State Grant) per month. On retirement or death, the total amount along with interest is refunded.
Health And Family Welfare:
Medical Expenses
Beneficiaries and their family members receive financial assistance for hospitalization and outdoor treatment of ailments covered under WBHS 2008.
The maximum annual assistance is ₹ 20,000/-.
Benefits include full coverage for clinical tests, medicine, and hospitalization.
In case of hospitalization, the beneficiary receives compensation for loss of employment.
Surgical Expenses
Beneficiaries and their family members receive financial assistance for any kind of surgery.
The maximum annual assistance is ₹ 60,000/-.
Benefits include full coverage for clinical tests, medicine, and hospitalization.
In case of hospitalization, the beneficiary receives compensation for loss of employment.
Additional Provisions
For accidents requiring hospitalization for five or more days, the beneficiary receives compensation for loss of employment.
Claims for medical expenses, surgical expenses, and accident-related loss of employment are admissible at government or empaneled hospitals.
Payment for loss of employment is applicable only to the registered beneficiary, not to family members.
A financial year is considered a year for availing benefits.
Death and Disability:  To provide social security to the nominees of the beneficiaries under the Yojana, the following benefit would be provided:-
In cases of death of the beneficiary arising out of an accident : ₹ 2,00,000/- only 
In cases of normal death of the beneficiary : ₹ 50,000/- only : ₹ 50,000/- 
In cases of minimum 40% disability of the beneficiary. The disability should be certified by a Government Hospital.
In cases of total and irrecoverable loss of both eyes or loss of use of both hands or feet or loss of sight of one eye and loss of use of hand or foot : ₹ 2,00,000/- 
In cases of total and irrecoverable loss of sight of one eye or loss of use of one hand or foot : ₹ 1,00,000/- 
Education: Assistance for education will be provided in the following category as per scale given below:
Class XI - ₹ 4,000/- pa
Class XII  - ₹ 5,000/- pa
Under training at ITI - ₹ 6,000/- pa
UG (Arts/Science/Commerce) - ₹ 6,000/- pa
PG (Arts/Science/Commerce) - ₹ 10,000/- pa
Polytechnic - ₹ 10,000/- pa
Medical / Engineering - ₹ 30,000/- pa
Assistance for completion of UG education or equivalent Skill Development Studies @ ₹ 25000/- each for up to two daughters will be provided. This benefit will however be admissible if the daughter remains unmarried till completion of studies"
