Scheme Name,Eligibility,URL,Region,Tags
Subsidy Scheme For Purchase Of Taxi / Goods Vehicle / Passenger Autorickshaw,"['(A) Applicants must belong to State Religious Minority Community.', '\ufeff', '(B) The applicant must be a permanent resident of the State.', '\ufeff', '(C) The age limit of the applicant should be between 18 and 55 years.', '\ufeff', '(D) Family income from all sources should be within Rs. 4.50 lakh per annum.', '\ufeff', ""(E) No member of the applicant's family should be an employee of the State/Central/ Government Public Sector Units."", '\ufeff', '(F) Applicant must possess relevant driving License issued by the Regional Transport Authority.', '\ufeff', '(G) Applicant or his/her family members should have not availed any vehicle loan under any scheme of the State Government.', '\ufeff', '(H) The applicant shall not be a loan defaulter in KMDC.']",https://www.myscheme.gov.in/schemes/subsidy-scheme-for-taxi,Karnataka,
Mukhyamantri Arogya Artham Yojana,"['Residence: The applicant must be a resident of Gujarat state.', 'Socio-economic criteria: The scheme targets vulnerable families belonging to lower-income groups.', 'Families having an annual income of up to Rs. 2.5 lakhs.', 'Families holding a yellow ration card or Antyodaya Anna Yojana (AAY) card.', 'Families who have availed of benefits under the National Food Security Act (NFSA), or any other state-level food security scheme.', 'Families belonging to Scheduled Castes (SC), Scheduled Tribes (ST), and Other Backward Classes (OBC).', 'Family size: The scheme covers families with up to five members. In the case of larger families, the coverage is extended to a maximum of seven members.', 'No existing insurance cover: The applicant should not have any existing health insurance coverage under any scheme or program.', 'Enrollment: The applicant must enrol themselves in the scheme by filling out the enrollment form and submitting the necessary documents.', 'Eligibility']",https://www.myscheme.gov.in/schemes/maay,Gujarat,"Arogya Artham, Gujarat, Health Insurance"
Udyogini Scheme,"['The applicant should be a woman.', 'The family income of the applicant should be less than ₹ 1,50,000/- for women belonging to general and special categories. No limit on family income for widowed or disabled women.', 'The age of the applicant should be between 18 to 55 years for all categories.', 'The applicant should be a permanent resident of Karnataka.', 'The applicant should not have defaulted on any past loan with any financial institution.', 'Preference must be given to the extremely poor, destitute, widow, and physically challenged.', 'In addition, preference may be given to candidates who have undergone prior skill development training or vocational training conducted by any KSWDC or any other department.', 'About 10% of the allocated target has been earmarked to benefit applicants of members of World Bank-assisted Swashakthi or Stree Shakthi groups.', '\ufeff', 'Reservation / Preference / Priority']",https://www.myscheme.gov.in/schemes/us,Karnataka,"Citizen Empowerment, Entrepreneurship, Loan, Social Welfare, Subsidy, Women"
Assistance Scheme For Reimbursement For Expenditure On Visa By Construction Workers For Employment Abroad,"['1. Applicant should be a resident of Rajasthan State.', '2.Applicant should be registered as Construction Worker under labor laws.', '\ufeff', 'Other Conditions', '1. For getting contract employment abroad, it is necessary to take permission for migration from the office of Protectors of Emigrants (POE) under the Migrant Act, 1983.', '2. Registration of the recruiting agency under the Overseas Act or a valid permit from the POE office is necessary.', '3. Reimbursement of visa amount under the above scheme will be payable on the beneficiary passport having a minimum validity of 6 months including valid visa.', '4. Under the scheme, the benefit of assistance amount will be payable to the beneficiary only once.', '5. During scrutiny of application and documents, if any facts found to be false resulting in the cancellation of eligibility, it will be the responsibility of the concerned beneficiary to deposit all the assistance amount sanctioned under the scheme along with interest.', '6. The benefit of this scheme will be payable only if the beneficiary is employed abroad, is in the building and other construction works.', '\ufeff']",https://www.myscheme.gov.in/schemes/asfrfevcsea,Rajasthan,"Abroad, Assistance, Construction Worker, Employment, VISA"
Delhi Family Benefit Scheme,"['The age of the deceased should be between 18 to 60 years, i.e. death of the “bread earner” occurred while he/she was in the age group 18-60 years. “Bread earner” is defined as the member of the household whose earnings contributed the largest proportion to the total household income.', 'Resident of Delhi for more than 5 years before the date of application', 'The family income of the applicant should not be more than Rs 1,00,000/ per annum.', 'The applicant should have an Aadhaar number', 'The applicant should have a ‘singly-operated’ account in any Bank in the National Capital Territory of Delhi only for receiving the payment through Public Financial Management System (PFMS).', 'EligibilityThe age of the deceased should be between 18 to 60 years, i.e. death of the “bread earner” occurred while he/she was in the age group 18-60 years. “Bread earner” is defined as the member of the household whose earnings contributed the largest proportion to the total household income.Resident of Delhi for more than 5 years before the date of applicationThe family income of the applicant should not be more than Rs 1,00,000/ per annum.The applicant should have an Aadhaar numberThe applicant should have a ‘singly-operated’ account in any Bank in the National Capital Territory of Delhi only for receiving the payment through Public Financial Management System (PFMS).', 'Eligibility']",https://www.myscheme.gov.in/schemes/dfbs,Delhi,
National Awards For Outstanding Services In The Field Of Prevention Of Alcoholism And Substance (Drug) Abuse: Outstanding Achievement By An Individual,"['The awards are open to all Indian Institutions, Organizations and Individuals without any distinction or discrimination on grounds of religion, race, sex, caste or creed.', 'It would be necessary that the nominee is recommended in writing by someone authorized to recommend the nominations.', 'The Self-nominations for the Awards shall not be considered.', 'No individual or organization who has been awarded should be considered for the National Award under this Scheme for the next three awards.', 'Concerned Ministries or Departments of the Government of India and their autonomous institutions with the approval of the Minister-in-charge of the Ministry.', 'State Governments or Union Territory Administrations with the approval of the concerned Chief Minister or Lt. Governors in Union Territory Administrations;', 'Regional Resource and Training Centres working in the field of drug de-addiction within their own jurisdiction;', 'Members of the National Consultative Committee on De-addiction and Rehabilitation (NCCDR);', 'Renowned Apex Chambers like the Federation of Indian Chambers of Commerce and Industry, Confederation of Indian Industry, The Associated Chambers of Commerce and Industry of India, etc;', 'Past Awardees.', 'Organizations like University Grand Commission(UGC), All India Council for Technical Education(AICTE), Medical Council of India(MCI), Nehru Yuva Kendra Sangathan(NYKS), Universities,', 'Central Board of Secondary Education(CBSE), National Council of Educational Research and Training(NCERT), Kendriya Vidyalaya Sangathan(KVS), Navodaya Vidyalaya Samiti(NVS), Council of Scientific and Industrial Research(CSIR), etc; and', 'Collector of the District/District Magistrate in which the Institution or Individual is working.', 'Commissioner of Commissionerate in which the Institution or Individual is working.', 'been innovative in creating awareness programmes for the reduction of alcohol and drug abuse.', 'evolved cost-effective campaign methods for alcohol and drug demand reduction reaching masses and results of which are visible in society.', 'been consistently and comprehensively created visibility through media and other programmes on promoting alcohol and drug-free lifestyle.', 'existing policy related to alcohol and drug issues for its employees with a view to keeping alcohol and drug-free workplace.', 'created awareness or educated the public about the adverse impact of alcohol and drugs through the media to help change the mindset in society.', '\ufeff', 'NOTE:Only nominations or recommendations emanating from Authorised Agencies or persons, designated for the purpose, supported by adequate justification, shall be considered.', '\ufeff', 'A.   For an outstanding awareness campaign through consistent and comprehensive coverage of addiction-related issues on a sustained basis the institution or organization other than an educational institution that has made outstanding achievements is eligible for the award.', 'B.   An Organisation or institution, to be eligible, should have:']",https://www.myscheme.gov.in/schemes/naospasa-oai,Ministry Of Social Justice and Empowerment,"Alcohol, Award, Awareness, Campaign, Drug"
Dalit Bandhu,"['The scheme is applicable only to families belonging to the SC community.', 'The applicant must be a resident of Telangana.', 'The family should have an annual income of less than Rs. 2.5 lakh.', 'The family should not own more than 3 acres of agricultural land or more than one residential house.', 'The applicant should not have availed of any other government loan or subsidy.', 'The applicant should have a viable business plan or entrepreneurial idea that can be supported by the grant.', 'The applicant should be willing to contribute 10% of the project cost.', 'The applicant should have a bank account.', 'The applicant should have a digital identity, such as an Aadhaar card.', 'The applicant should be between the ages of 25 and 50.', 'The applicant should have passed at least the 10th standard.', 'The applicant should not have a criminal record or have been convicted of a crime.', 'Here are the eligibility criteria for the scheme:', '\ufeff', '\ufeff', 'These eligibility criteria have been put in place to ensure that the scheme benefits those who are most in need of financial assistance to start their own businesses or entrepreneurial ventures. By targeting eligible SC families who meet these criteria, the government aims to ensure that the benefits of the scheme reach the intended beneficiaries and help to reduce economic disparities in the state.', '\ufeff', 'The eligibility criteria for the Dalit Bandhu scheme in Telangana are based on the socio-economic conditions of the Dalit families. According to the Telangana Chief Minister, K. Chandrasekhar Rao, the following parameters will be considered in the eligibility survey:', '\ufeff', '\ufeff', 'The eligibility survey will be conducted by a dedicated agency, the Telangana Dalit Bandhu Corporation, which will also provide capacity-building and training programs, as well as support for marketing and access to credit. It is worth noting that the scheme is not based on caste certificates, but on the socio-economic conditions of the families. Eligible Dalit families will receive financial assistance of Rs. 10 lakhs in a phased manner to start their own businesses or ventures.']",https://www.myscheme.gov.in/schemes/dalit-bandhu,Telangana,"Dalit Bandhu Scheme, Direct Benefit Transfer, Economic Development, Reduce Poverty And Promote Entrepreneurship, Scheduled Caste, Social Welfare, Telangana Dalit Bandhu"
AASRA Scheme,"['The applicant should be a permanent resident of the Union Territory of Jammu & Kashmir.', 'All breadwinners of families whose total annual income is less than ₹75000/- are eligible under the scheme.', 'All widows and destitute residing in the Union Territory are eligible under the scheme.', 'All breadwinners of Below Poverty Line (BPL) families are eligible under the scheme.', 'The intending family must establish that he/she has no source of income quantified as per the prescribed income certificate.', 'The life/accident cover under the scheme will be paid only to the prescribed nominee in case of the death of the beneficiary as per the guideline outlined in the scheme.', 'The applicant should be a permanent resident of the Union Territory of Jammu & Kashmir.All breadwinners of families whose total annual income is less than ₹75000/- are eligible under the scheme.All widows and destitute residing in the Union Territory are eligible under the scheme.All breadwinners of Below Poverty Line (BPL) families are eligible under the scheme.The intending family must establish that he/she has no source of income quantified as per the prescribed income certificate.The life/accident cover under the scheme will be paid only to the prescribed nominee in case of the death of the beneficiary as per the guideline outlined in the scheme.']",https://www.myscheme.gov.in/schemes/aasra,Jammu and Kashmir,"Below Poverty Line, Bread Winner, Destitute, Insurance, Social Security, Social Welfare, Widow"
State Research Scholarship,"['Applicable for Scheduled Tribe and Indigenous students of Nagaland who are pursuing M.Phil/Ph.D/D.Litt. course from recognized Universities within India.', 'Scholars who have availed this Scholarship three times are no longer eligible.', 'Applicant must not be a beneficiary of any other Fellowship/Scholarship scheme.', 'Applicant must not be an employee of any government/semi-government establishment', 'Eligibility']",https://www.myscheme.gov.in/schemes/srsn,Nagaland,"Financial Assistance, Nagaland, State Research Scholarship"
Partial Travel Support Scheme,"['Educational Qualification: The applicant should have passed at least M.Sc./B.E./B.Tech/MBBS or an equivalent degree from a recognized University/Institute.', ""Age Limit: The applicant's age should not exceed 40 years on the date of commencement of the Conference/Seminar/Symposium/Workshop."", ""Paper Acceptance: The applicant's paper should have been accepted for presentation. The application must include a copy of the full paper, an abstract, the schedule of the conference, and an acceptance letter from the organizer."", 'Previous Travel Support: Scientists and Research Scholars who have not received travel support under PATSS in the previous three years are eligible for consideration.', 'International Reputation: The Conference/Seminar/Symposium/Workshop should have an international character and repute. Applications to attend annual meetings of professional societies will not be considered.', 'Publication Requirement: Scientists and Research Scholars must have published at least one paper in a refereed journal to be eligible for consideration.', 'Forwarding of Application: The application, along with all necessary documents, should be forwarded through the proper channel from the Head of the Institution.', 'Application Deadline: Complete applications should reach the office one month before the event takes place.', 'Research Paper Reprint: The Scientist/Research scholar sanctioned travel grant under the scheme is required to provide one reprint of the research paper presented at the Conference/Seminar/Symposium/Workshop after its publication.', 'Notification of Selection: The applicants recommended by the Committee/Experts will be informed of their selection via email or post, using the email ID provided by the candidate.']",https://www.myscheme.gov.in/schemes/patss,Himachal Pradesh,"Partial, Scholar, Scientist, Travel"
Schedule Tribe Pre-Metric Scholarship Class 06 To 08,"['The student should belong to the Scheduled Tribe category.', 'The student who is studying as a regular student in classes 6 to 8 in schools run by the Central Government, State Government, Municipalities and schools recognized by the Department of Education.', 'Students whose parents/guardians are not income taxpayers when they are not alive.', 'The student who is not getting any other type of scholarship or allowance for study from central, state / public sources.', ""The student who has not failed in the lower class in the last session. If he fails in any year's examination, his scholarship will be stopped, but if he fails in the same class in the next"", 'If he passes the examination, he will be eligible for the scholarship in the new class from the next session. For this, the student will have to apply for a new scholarship again.', 'Students who are not living in hostels are run or aided by the Department of Social Justice and Empowerment.']",https://www.myscheme.gov.in/schemes/stpmsc,Rajasthan,"Education, Financial Assistance, Learning, Student Finance"
Uttam Pashu Puraskar Yojana,"['1.\tThe beneficiary should be a permanent resident of Himachal Pradesh.', '2.\tThe beneficiary/livestock owner of Cattle/Buffaloes giving 15 liters or more milk per day is eligible to apply under the scheme.', '\ufeff']",https://www.myscheme.gov.in/schemes/uppy,Himachal Pradesh,"Buffaloes, Cash Prize, Cattle, Livestock, Milk"
Domestic Funding Of Foreign Training,"['All Indian Administrative Service (IAS) Officers / Group ‘A’ officers belonging to Central Secretariat Service (CSS), Central Secretariat Stenographer Service (CSSS), and State Civil Service (SCS).', 'Indian Police Service (IPS), Indian Forest Service (IFoS), and Group ‘A’ Central Civil Service Officers during the tenure of deputation under the Central Staffing Scheme of DoPT.', 'All Indian Administrative Service (IAS) Officers / Group ‘A’ officers belonging to Central Secretariat Service (CSS), Central Secretariat Stenographer Service (CSSS), and State Civil Service (SCS).Indian Police Service (IPS), Indian Forest Service (IFoS), and Group ‘A’ Central Civil Service Officers during the tenure of deputation under the Central Staffing Scheme of DoPT.']",https://www.myscheme.gov.in/schemes/dfft-scheme,"Ministry Of Personnel, Public Grievances And Pensions","Foreign, Government Officers, International, Training Programme"
Krishak Durghatna Kalyan Yojana,"['After September 14, 2019,  the families of the farmers who were victims of the accident can also get the benefit of the scheme.', 'The age of the applicant farmer should be between 18 to 70 years.', 'After the death of the applicant farmer in the accident, the parents, wife, daughter-in-law, son, daughter, grandson and granddaughter of his family will be provided financial assistance by the government.', 'Those farmers of the state who do not have their own agricultural land and do the work of farming on share or rent.', 'The benefit of UP Chief Minister Farmer Accident Welfare Scheme will be given to the farmer suffering from 60 percent or more disability.']",https://www.myscheme.gov.in/schemes/kdky,Uttar Pradesh,"Death Benefits, Disability, Farmers, Financial Assistance"
Devnarayan Scooty Distribution And Incentive Scheme,"['Girl students should be from extremely backward classes of Rajasthan origin.', 'Students have secured 50% or more marks in the 12th (C.S.)', 'The examination should be conducted by the Rajasthan Board of Secondary Education / Central Board of Secondary Education and have been admitted to Government Colleges, State Funded Universities located in Rajasthan.', ""Applicants should be studying regularly after being admitted in the first year of their bachelor's degree."", ""The annual income of the student's parent/guardian/guardian/husband should be less than Rs.2.50 lakh."", 'The benefit of the Devnarayan Higher Education Financial Assistance Scheme / other financial assistance scheme will not be payable to the student who gets the benefit in this scheme.']",https://www.myscheme.gov.in/schemes/dsdais,Rajasthan,"Education, Financial Assistance, Higher Education, Resources For School"
Vikramaditya Yojna,"['The applicant must belong to the General category.', 'He/she must have scored at least 60% or more marks in the Class 12 examination.', 'The annual family income of the applicant should not exceed INR 1,20,000 (for higher education) and INR 54,000 (for graduation).', '\ufeff']",https://www.myscheme.gov.in/schemes/vay,Madhya Pradesh,"FINANCIAL ASSISTANCE, HIGHER EDUCATION, SCHOLARSHIP"
Savitribai Phule Scholarship For V.J.N.T And S.B.C Girls Students Studying In 8th To 10 Std,"['1) Girl Student should belong to V.J.N.T. or S.B.C category.', '2) Girl Student should be studying in 8th to 10th Standard.', '3) No income limit and there will be no limit of marks.']",https://www.myscheme.gov.in/schemes/sps,Maharashtra,"Pre-Matric, SBC, Scholarship, Special Backward Classes, VJNT, Vimukta Jati And Nomadic Tribes"
Schemes Of HP Minorities Finance & Development Corporation,"['Individuals belonging to minority communities (Sikhs, Muslims, Christians, Buddhists, Jains and Parsis) in the age group of 18 years to 55 years whose annual income is Rs.98,000/- (rural areas) and Rs.1,20,000/- (urban areas) be less than.']",https://www.myscheme.gov.in/schemes/hpmfd,Himachal Pradesh,"Employment, Loan, Minority, Social Welfare"
Arun Pig Development Scheme,"['1.\tThe applicant should be a permanent resident of Arunachal Pradesh.', '2.\tPig-rearing individual farmers/ Self Help Groups (SHGs), ones identified by the District Pig Development Committee are eligible to apply under the scheme.', '3.\tPreference would be given to women and genuinely poor farmers.']",https://www.myscheme.gov.in/schemes/apds,Arunachal Pradesh,"Entrepreneur, Farmer, Pig Farming, Self Help Group (SHG), Subsidy"
RKVY Soil Health and Fertility Village level Soil Testing Lab,"['1)\tThe Age of the applicant should be between 18 to 27 years', '2)\tThe Educational Qualification of the applicant should be 10th pass with science and knowledge of computer', '3)\tThe applicant / entrepreneur group should have their own premises / rented building with lease agreement for atleast four years.', '\ufeff']",https://www.myscheme.gov.in/schemes/rkvyshfvlstl,Ministry Of Agriculture and Farmers Welfare,"INM, RKVY, Rural Entrepreneur, Soil Health, Soil Testing Lab"
NEC Stipend And Book Grant Scheme,"['ST & General Students of Nagaland State.', 'ST Students who have secured 60% marks in the last qualifying final examination and 75% marks for students belonging to General Category.', 'Students who are pursuing Higher Professional courses of studies in the Courses are approved by NEC.', 'Eligibility']",https://www.myscheme.gov.in/schemes/nsbgs,Nagaland,"Book Grant, Fellowship, NEC Stipend, Nagaland"
Mukhyamantri Yuba Yogajog Yojana In Tripura,"['To be eligible for the scheme, the student must follow the following eligibility criteria given below:-', '1)\tThe student must be a resident of Tripura state.', '2)\tThe student must be studying in a college resided in Tripura state.', '3)\tA student must be in the final year of the course.', '4)\tThe scheme is not applicable for students who are getting their degree from the colleges which are not in the state.', '5)\tThe student can avail of the benefits once in the lifetime', '6)\tApplicant must buy a smartphone after the announcement of the scheme in his/ her name.', '\ufeff']",https://www.myscheme.gov.in/schemes/myyyt,Tripura,"Degree Grant, Mobile, Scholarship, Smart Phone, Student"
Biotechnology Young Entrepreneur Award,"['Students who are pursuing post-graduate programmes (including integrated PG degree programmes), doctoral degrees, B.E. or B.Tech. in Biotechnology or in the area of life sciences related to biotechnology (bioinformatics/Molecular biology/microbiology/biochemistry/Genetics and/or related subjects) from universities/Institutes in the State of Kerala are eligible to apply.', 'Students who are pursuing post-graduate programmes (including integrated PG degree programmes), doctoral degrees, B.E. or B.Tech. in Biotechnology or in the area of life sciences related to biotechnology (bioinformatics/Molecular biology/microbiology/biochemistry/Genetics and/or related subjects) from universities/Institutes in the State of Kerala are eligible to apply.']",https://www.myscheme.gov.in/schemes/byea,Kerala,"Award, Biotechnology, Entrepreneur, Student, Workshop, Young"
Subsidy Scheme For Establishment Of Goat Unit (10+1) For General Category People,"['1.\tThis scheme can be applicable only to the adult beneficiaries of the general category people of Gujarat State.2.\tThe benefit has provided to only one person per family.3.\tThe Beneficiary has to give his/her photograph with the goats unit.4.\tIn general circumstances, the unit should be run for 3 years.Note 01:The beneficiary has to purchase goats unit within 90 days of pre-approval of the online application. If the beneficiary fails to establish the goat unit within the time limit or proves disabled then the approval order given to the beneficiary will be cancelled and the approval order will be given to the beneficiary who is next in the waiting list.Note 02:The Beneficiary has to note the record of milk production and has to give a register and information during the visit of the department technical officer.', '1.\tThis scheme can be applicable only to the adult beneficiaries of the general category people of Gujarat State.', '2.\tThe benefit has provided to only one person per family.', '3.\tThe Beneficiary has to give his/her photograph with the goats unit.', '4.\tIn general circumstances, the unit should be run for 3 years.', 'Note 01:The beneficiary has to purchase goats unit within 90 days of pre-approval of the online application. If the beneficiary fails to establish the goat unit within the time limit or proves disabled then the approval order given to the beneficiary will be cancelled and the approval order will be given to the beneficiary who is next in the waiting list.', 'Note 02:The Beneficiary has to note the record of milk production and has to give a register and information during the visit of the department technical officer.', '\ufeff', '\ufeff']",https://www.myscheme.gov.in/schemes/ssegu10gcp,Gujarat,"Employment, General Category, Goat, Milk Production, Subsidy"
Overseas Visiting Doctoral Fellowship,"['The scheme is open to Indian nationals only.', 'The applicant should have registered for a full-time Ph.D. Degree in any of the recognized Institutions / Universities in India in Science, Technology, Engineering, and Mathematics (including Medicine, Pharma, Agriculture, and related S&T areas) disciplines.', 'Part-time and sponsored students are not considered under the scheme.', 'The students who have submitted their thesis for the award of the Degree of Ph.D. are not eligible to apply.', 'The scheme is open to Indian nationals only.The applicant should have registered for a full-time Ph.D. Degree in any of the recognized Institutions / Universities in India in Science, Technology, Engineering, and Mathematics (including Medicine, Pharma, Agriculture, and related S&T areas) disciplines.Part-time and sponsored students are not considered under the scheme.The students who have submitted their thesis for the award of the Degree of Ph.D. are not eligible to apply.', 'Note 01:The selected fellows while taking up the SERB overseas fellowship should not draw their regular research fellowship in India.Note 02:The exchange visit of the supervisors should be during the tenure of the Ph.D. work of the applicant. Both supervisors should ensure a residency period of at least two weeks and not exceeding 30 days in their respective foreign institutes.Note 03:The Indian Institution should ensure the availability of necessary facilities including scientific equipment, infrastructure, research personnel, etc. for facilitating the visit of overseas scientists for undertaking collaborative research. The institution should also extend all necessary administrative support to the proposed work.Note 04:Purdue faculty may support only one OVDF application per call.', 'Note 01:The selected fellows while taking up the SERB overseas fellowship should not draw their regular research fellowship in India.', 'Note 02:The exchange visit of the supervisors should be during the tenure of the Ph.D. work of the applicant. Both supervisors should ensure a residency period of at least two weeks and not exceeding 30 days in their respective foreign institutes.', 'Note 03:The Indian Institution should ensure the availability of necessary facilities including scientific equipment, infrastructure, research personnel, etc. for facilitating the visit of overseas scientists for undertaking collaborative research. The institution should also extend all necessary administrative support to the proposed work.', 'Note 04:Purdue faculty may support only one OVDF application per call.']",https://www.myscheme.gov.in/schemes/ovdf,Ministry Of Science And Technology,"Doctoral, Fellow, Fellowship, Overseas, Young Scientist"
Pratibha Kiran Scholarship,"['The applicant of the scheme should be a permanent resident of Madhya Pradesh.', 'The applicant can be a resident of the urban area of MP state.', 'The candidate of the scheme should have passed class 12th with 60% or more then.', 'The candidate who wants to apply for the scheme should belong below the poverty line. Financial assistance under the scheme will only be provided to BPL girl students.']",https://www.myscheme.gov.in/schemes/pks,Madhya Pradesh,"BPL Girl Student, FINANCIAL ASSISTANCE, HIGHER EDUCATION, SCHOLARSHIP"
Testing Fee Reimbursement Scheme,"['Applicant should have a micro or small scale industry.', 'Applicant should belong to Scheduled Caste (SC) or Scheduled Tribe (ST).', 'The enterprise must be registered with the Udyam portal or any other valid registration platform recognized by the MSME Ministry.']",https://www.myscheme.gov.in/schemes/tfrs,"Ministry Of Micro, Small and Medium Enterprises","Business, Enterpremeurship"
Thakur Sen Negi Utkrisht Chatravriti Yojana,"['The applicant should be a bona fide of Himachal Pradesh.', 'The applicant should be a Student.', 'The applicant should belong to the Scheduled Tribes Category.', 'The applicant should have passed Class 10th.', 'The applicant should be in the top 100 Girls or top 100 Boys students, as declared in the result of the Matric Examination conducted by the Himachal Pradesh Board of School Education.', 'The applicant should be studying in a recognized (including Professional / Technical) institution within or outside the State.', 'The applicant should have a Bank Account.', 'NOTE:The renewal in the 10+2 Class / 2nd Year of course will be subject to satisfactory performance in internal examinations of the 10+1 Class / 1st Year Course.']",https://www.myscheme.gov.in/schemes/tsnucy,Himachal Pradesh,"Education, Financial Assistance, Scholarship, Skill Development, Student"
Sruthitharangam ( Cochlear Implantation Scheme ),"['1.\tThe applicant should be a resident of Kerala State.', '2.\tThe child who is hearing impaired is eligible under the scheme.', '3.\tThe child should be in the age group of 0-3 years.', '4.\tThe annual family income of the applicant should be below ₹2 Lakhs.', 'Note:The Screening Committee would be empowered to make exceptions beyond 3 years and up to 5 years of age on a case-to-case basis; where the committee feels that a high possibility of success exists or if there are other compelling technical reasons warranting or making an exception.', 'Note:The Screening Committee would be empowered to make exceptions beyond 3 years and up to 5 years of age on a case-to-case basis; where the committee feels that a high possibility of success exists or if there are other compelling technical reasons warranting or making an exception.']",https://www.myscheme.gov.in/schemes/scis,Kerala,"Children, Cochlear, Hearing Impaired, Sruthitharangam, Surgery"
National Fellowship for Students with Disabilities,"['The applicant must be a person with disability (PWD) as defined under the Rights of Persons with Disabilities Act, 2016, with at least 40% disability.', 'The applicant must have a valid disability certificate issued by the competent authority.', 'The applicant must have secured admission to an M. Phil. or Ph.D. program in a university/institution recognized by the University Grants Commission (UGC).', 'The applicant must have a good academic record.']",https://www.myscheme.gov.in/schemes/sn2408,Ministry Of Social Justice and Empowerment,"Education, Fellowship, Learning"
Chief Minister’s Yuva Kaushal Yojana,"['1.\tThe applicant should be a permanent resident of Arunachal Pradesh.', '2.\tThe applicant should have a minimum qualification of class X.']",https://www.myscheme.gov.in/schemes/cm-yky,Arunachal Pradesh,"Employment, Job, Stipend, Training, Youth"
"Scheme for Plantation Development (New planting & Replanting) under Medium Term Framework Plan (MTFP) in Traditional Areas (Kerala and Tamil Nadu), Non-Traditional and North Eastern Region","['The growers owning rubber areas not exceeding 2.00 ha shall be eligible for assistance under Rule VI of the scheme.', 'The planting grant payable will be limited to an area of 1.00 ha.', 'The growers who undertake new planting/replanting rubber in a minimum area of 0.10 ha will be eligible for assistance.', 'The applicant should have absolute possession over the land in respect of which assistance is sought.', 'Areas notified/certified in the documents as paddy fields are not eligible for any kind of assistance under this scheme.', 'The growers owning rubber areas not exceeding 5.00 ha shall be eligible for assistance under Rule VI of the scheme.', 'The planting grant payable will be limited to an area of 2.00 ha.', 'The growers who undertake new planting/replanting rubber in a minimum area of 0.10 ha will be eligible for assistance.', 'The applicant should have absolute possession over the land in respect of which assistance is sought.', 'Areas notified/certified in the documents as paddy fields are not eligible for any kind of assistance under this scheme.', 'The prescribed minimum stand of rubber plants (@450/ha) should be maintained and growth should be satisfactory as assessed by the inspecting officer.', 'The number of non-rubber trees, that already exist in the plantation can be retained in a proportion of 20 trees or 40 coconut palms or 80 Arecanut palms per ha, in a well-distributed manner.', 'Sloppy lands should be protected from soil erosion by contour terracing or construction of contour bunds or digging silt trenches or silt pits and also by planting of cover crops.', 'Boundary protection measures should be adopted.', 'The absolute right to refuse assistance without assigning any reason is vested with the Executive Director of the Rubber Board.', '\ufeff', '\ufeff']",https://www.myscheme.gov.in/schemes/spdmtfptantner,Ministry Of Commerce And Industry,"Agriculture, DBT, Farming, Plant, Rubber, Seed, Subsidy"
Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme-1,"['The annual income of the family of the applicant should not exceed ₹ 72,000/-.', 'The girl should be of the legal marriage age, i.e. 18 years or above.', 'The boy should be of the legal marriage age, i.e. 21 years or above.', 'The girl should have studied upto 10th Standard. As a special case, a bride from the Scheduled Tribe community, with a minimum education of 5th Standard, can also avail of this scheme.', 'Only one girl from a family is eligible.']",https://www.myscheme.gov.in/schemes/mranmas1,Tamil Nadu,"Bride, Financial Assistance, Gold, Marriage, Social Welfare"
International Cooperation Scheme- Capacity Building of First Time MSE Exporters,"['The Micro and Small Enterprises with valid Udyam Registration are eligible to apply under the scheme.', ""To claim the benefits under the scheme, the applicant's Importer Exporter Code (IEC) must not be older than 3 years on the date of export shipment."", ""The Micro and Small Enterprises with valid Udyam Registration are eligible to apply under the scheme.To claim the benefits under the scheme, the applicant's Importer Exporter Code (IEC) must not be older than 3 years on the date of export shipment.""]",https://www.myscheme.gov.in/schemes/ics-cbfte,"Ministry Of Micro, Small and Medium Enterprises","Capacity Building, Cooperation, Exporter, Financial Assistance, International, MSE"
Vishesh Shiksha Sahaayata Yojana,"['Construction workers (parents) should be registered.', 'Construction workers (parents) are dead with in one year of registration with labor board.', 'Only the first two children of registered construction workers will be eligible.', 'Children will not be eligible if any other registered construction workers are in the family (parents) other than the deceased worker.']",https://www.myscheme.gov.in/schemes/vssy,Chhattisgarh,"Education, Financial Assistance, Social Welfare"
Palanhar Scheme,"['Orphan boy/girl.', 'Children of parents sentenced to death/life imprisonment under judicial orders.', 'Children of a widowed mother receiving a pension (maximum 3 children at a time).', 'Children of remarried widowed mothers.', 'Children of HIV/AIDS affected mother/father.', 'Children of parents suffering from leprosy.', 'Children of related mothers (Maximum 3 children at a time).', 'Children of specially-abled parents.', 'Children of divorced/abandoned women receiving the pension.', 'Children of parents suffering from silicosis.', 'The age of the child should be less than 18 years.', 'If Child age is 18 and still studying/staying in 12th class or lower class, then in such a situation such children will be given an additional one year ( The benefit can be provided till the age of 19 years). The said benefit will not be payable after the child completes 19 years of age or passes 12th class.', 'The certificate that the guardian is a native of Rajasthan state or has been residing in the state for more than three years.', 'Guardian Family income should not be more than Rs. 1.20 Laks per annum.']",https://www.myscheme.gov.in/schemes/ps,Rajasthan,"Education, Financial Assistance, Orphan Child, Protection"
